configuration,level,period_ms,lines,seed,epochs,task_set_accepted,cluster_capacity_gpu0,cluster_capacity_gpu1,assigned_per_slice_gpu0,assigned_per_slice_gpu1,selected_voltage_gpu0,selected_voltage_gpu1,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s
HEAT-adapted-L1,1,100,8,202,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,a7fc26724f1b2b80aafcbfe456e5577887e3ee73477665c9c0c1c3b3a1fd5adc,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,8,303,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,aedf71a1dbe0de9c0c0682e31fc58619e5ac59a3b2096cb6fda1aceaef1567c5,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,8,404,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,c49922ac05042c81f20ba21716a3cc4b4ee71af2770f145b211957bbfc28210a,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,8,505,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,87e415d8698e71254abc72e378d7559d5e5f56c12742c53c953913cabe26f036,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,8,606,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,7727b14c3f2a12569602480fc27df69444ff9763ea20657c02b3169015339afe,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,8,707,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,5055d7ad33e3719e2e621b4682d9c9ee97105ac36437030ad53b3894b9f7ae41,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,8,808,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,b68992cc71af294d786a1f3d922d9c31ea8a7076ca3708b1e745563275572fb4,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,8,909,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,161e86824eaa2e63d41f76211696462d40864502b1a95bf46d16e749f86e0aa7,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,8,1010,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,aa6154ce4ab1912828f1cb0fe9debc3eda3652e6f8feaf5d70d32c7275efbb9b,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,101,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,6847dfafc6babc98c95f66c3eaa57afee35b21614416684f4d91a0784c4ff1c0,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,202,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,afc98569d3054aaa6ec1f044e7345b84313318ac1f62d5e1a0f37bc4aeac4a36,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,303,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,3a424fac7e0e3672b1f1b611f8b9049ecb1181cc50da6fdadf6ab38e00e2e41f,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,404,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,c7da8d93464d8e8e44f341befe13e511f162bf8018ade7cf0023982691ac19e4,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,505,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,437b773ec26ee105d05cb7f55f511881f0d687776fa0684480e3d380de1efb33,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,606,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,f805f3ed8b464e016c81f84997b4c81ac89c57c9d1eab36e7bc2c52e99225a82,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,707,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,e37e9eceb6156cb2f3969736ddf1b6d62337602efed64e4b76a3fc9a7f5fba81,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,808,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,4c4c3dd38d55eacd399393e0fb2ed8ce13ed74f1df32300acbdc390d7e54a5ea,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,909,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,551299176aa9355381696a3feba4930a822d66d5d1ce25a9e89620224177605c,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,100,10,1010,1000,False,17,8,17,23,,,10000,10000,10000,0,0,0,0,1.0,0.0,1.0,9fcaee48a6542cc770d4770c0a0966257bd670ba87ac956e53537d022c405de6,10000,10000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
HEAT-adapted-L1,1,150,4,101,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,358345139b329c40140caebe1f44495eb1cb4ce7057ad9123725a473225c7759,4000,4000,0.4247423119946164,4000,0.4247423119946164,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,202,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,34b8939f5e22fe77656bcf596b267a8e14848f4c8183e258a0aa6bf6964bce30,4000,4000,0.4247423119946172,4000,0.4247423119946172,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,303,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,cb9cf6119f28cbbe2f515263b460577c6bf03d42557f7919b99931e42d877f4b,4000,4000,0.4247423119946166,4000,0.4247423119946166,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,404,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,19660c8d7c38bf482c258d456033c0235b91bafa3f9150f8928502cb0b6a233e,4000,4000,0.42474231199461693,4000,0.42474231199461693,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,505,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,73cdab68096cc443e0e24ada558429cabf1afc7f75cc16ce9d024a0d7cee62f9,4000,4000,0.4247423119946171,4000,0.4247423119946171,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,606,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7833957291a032d51d81862cac99e9d8ccb12f68b533b2caf53ee51ae3f9dc9c,4000,4000,0.42474231199461704,4000,0.42474231199461704,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,707,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7299403d9d2d4f4ccec9f76133c48d8d07e2ed601a2777f731db87ca14e66056,4000,4000,0.42474231199461715,4000,0.42474231199461715,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,808,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,332b0fc25c5dccfb6fb5145b59221f17277c51b24f8c2d6148183eada1540c2c,4000,4000,0.4247423119946168,4000,0.4247423119946168,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,909,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,3a15676bda67054cb5929717fc730bfa67cd49969827870cd1819db4b67b2b0f,4000,4000,0.42474231199461693,4000,0.42474231199461693,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,4,1010,1000,True,26,12,16,0,0.6,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,f74ec5db6e908852b709fb2fc49501319e260c6bb970c5803f31b89af1514827,4000,4000,0.42474231199461665,4000,0.42474231199461665,0.6654705787174815,0.3345294212825185,0.042,0.0,29.93392705992533,0.0,29.99983392645314,149.9843999999999
HEAT-adapted-L1,1,150,6,101,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,368e16a18b5b73e12179e2ceeeef5d7bbd6d7e12c7147fe591b0919c4402b0f8,6000,6000,0.42474231199461665,6000,0.42474231199461665,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,6,202,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,1647dacc78c42fdbc64e7d28ec9e5575601944c739c0044734f158d076fd1351,6000,6000,0.4247423119946177,6000,0.4247423119946177,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
