method,period_ms,lines,seed,epochs,defective_region_stratum,images,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
HBTASP-Dynamic,100,10,909,1000,2,3380,0.1776984016075978,0.15832915879464365,0.5739644970414202
HBTASP-Dynamic,100,10,909,1000,3-4,2820,0.2104091832920776,0.20076520623495206,0.34397163120567376
HBTASP-Dynamic,100,10,1010,1000,1,3800,0.147142847924552,0.1994403723879716,0.7052631578947368
HBTASP-Dynamic,100,10,1010,1000,3-4,2820,0.18108025369520364,0.1713827877661512,0.40425531914893614
HBTASP-Dynamic,100,10,1010,1000,2,3380,0.17871788145852835,0.18212012273895015,0.5857988165680473
HBTASP-Dynamic,150,4,101,1000,1,1520,0.40714858610635396,0.5294409964076704,0.14736842105263157
HBTASP-Dynamic,150,4,101,1000,3-4,1128,0.5570490795181521,0.6588439886681435,0.0070921985815602835
HBTASP-Dynamic,150,4,101,1000,2,1352,0.4770684341472955,0.606624880210523,0.047337278106508875
HBTASP-Dynamic,150,4,202,1000,3-4,1128,0.5630188568255424,0.6541742858145704,0.0070921985815602835
HBTASP-Dynamic,150,4,202,1000,2,1352,0.48656555433820636,0.6228672289347068,0.047337278106508875
HBTASP-Dynamic,150,4,202,1000,1,1520,0.4006179046563102,0.5360581350243705,0.15789473684210525
HBTASP-Dynamic,150,4,303,1000,2,1352,0.4926671641365349,0.6172702168125677,0.04659763313609468
HBTASP-Dynamic,150,4,303,1000,3-4,1128,0.56034739442315,0.6523405517034728,0.0070921985815602835
HBTASP-Dynamic,150,4,303,1000,1,1520,0.4101236307406724,0.5295523080296156,0.15789473684210525
HBTASP-Dynamic,150,4,404,1000,3-4,1128,0.5463598952963618,0.6322889620654867,0.0070921985815602835
HBTASP-Dynamic,150,4,404,1000,2,1352,0.4993506395737735,0.6265716875223314,0.047337278106508875
HBTASP-Dynamic,150,4,404,1000,1,1520,0.4073277068552522,0.5318739142900512,0.16842105263157894
HBTASP-Dynamic,150,4,505,1000,1,1520,0.3971524266120418,0.5328398799183715,0.15263157894736842
HBTASP-Dynamic,150,4,505,1000,3-4,1128,0.5602710844023558,0.6463184372931323,0.0070921985815602835
HBTASP-Dynamic,150,4,505,1000,2,1352,0.4937285640242359,0.6293474677653993,0.03550295857988166
HBTASP-Dynamic,150,4,606,1000,2,1352,0.4849833068650013,0.6167336996910491,0.03550295857988166
HBTASP-Dynamic,150,4,606,1000,1,1520,0.40132258259862763,0.5158054913733493,0.15263157894736842
HBTASP-Dynamic,150,4,606,1000,3-4,1128,0.561604404370031,0.6524565887823471,0.0070921985815602835
HBTASP-Dynamic,150,4,707,1000,3-4,1128,0.5552743226109137,0.6449539730399276,0.0070921985815602835
HBTASP-Dynamic,150,4,707,1000,1,1520,0.4108252241814518,0.5418937311318368,0.14802631578947367
HBTASP-Dynamic,150,4,707,1000,2,1352,0.4903518041216088,0.6263688830737506,0.031804733727810654
HBTASP-Dynamic,150,4,808,1000,3-4,1128,0.5503351433747484,0.6476216820429027,0.0070921985815602835
HBTASP-Dynamic,150,4,808,1000,1,1520,0.40525822549785917,0.5252302969996459,0.1730263157894737
HBTASP-Dynamic,150,4,808,1000,2,1352,0.49049203663325797,0.6155401998309349,0.03550295857988166
HBTASP-Dynamic,150,4,909,1000,1,1520,0.40678908744633935,0.5291176867421112,0.14736842105263157
HBTASP-Dynamic,150,4,909,1000,2,1352,0.48015551094418396,0.5975694493485466,0.047337278106508875
HBTASP-Dynamic,150,4,909,1000,3-4,1128,0.5614370463070024,0.656216893496365,0.0070921985815602835
HBTASP-Dynamic,150,4,1010,1000,1,1520,0.4072699163683622,0.547058168755165,0.14736842105263157
HBTASP-Dynamic,150,4,1010,1000,3-4,1128,0.5485795404319718,0.6435057544967484,0.0070921985815602835
HBTASP-Dynamic,150,4,1010,1000,2,1352,0.4924345839645341,0.6253726658518929,0.030325443786982247
HBTASP-Dynamic,150,6,101,1000,1,2280,0.35774011145794843,0.49653011316681567,0.22807017543859648
HBTASP-Dynamic,150,6,101,1000,3-4,1692,0.4887420130514314,0.6350493482234097,0.0070921985815602835
HBTASP-Dynamic,150,6,101,1000,2,2028,0.4327685461608491,0.6055480145072607,0.05719921104536489
HBTASP-Dynamic,150,6,202,1000,3-4,1692,0.4930005941328866,0.6536537606985037,0.0070921985815602835
HBTASP-Dynamic,150,6,202,1000,2,2028,0.44043507585671765,0.607455781192669,0.05719921104536489
HBTASP-Dynamic,150,6,202,1000,1,2280,0.36039718380060204,0.5013554157601515,0.22807017543859648
HBTASP-Dynamic,150,6,303,1000,2,2028,0.43743223460779285,0.5979929759567607,0.05325443786982249
HBTASP-Dynamic,150,6,303,1000,3-4,1692,0.48737611031499445,0.6366953778057118,0.0070921985815602835
HBTASP-Dynamic,150,6,303,1000,1,2280,0.36257281854831913,0.5158565092000742,0.21929824561403508
HBTASP-Dynamic,150,6,404,1000,3-4,1692,0.4852657057750636,0.6325083461792997,0.0070921985815602835
HBTASP-Dynamic,150,6,404,1000,2,2028,0.438295606102723,0.6109769432239699,0.0670611439842209
HBTASP-Dynamic,150,6,404,1000,1,2280,0.3570403385760705,0.5015638720703399,0.23333333333333334
HBTASP-Dynamic,150,6,505,1000,1,2280,0.3589644510258324,0.4983380837535628,0.22280701754385965
HBTASP-Dynamic,150,6,505,1000,3-4,1692,0.4897439789513844,0.6428492979549021,0.0070921985815602835
HBTASP-Dynamic,150,6,505,1000,2,2028,0.43460501530570833,0.5942928872371706,0.05325443786982249
HBTASP-Dynamic,150,6,606,1000,2,2028,0.4366023740193011,0.6081542338537007,0.05917159763313609
HBTASP-Dynamic,150,6,606,1000,1,2280,0.36028947929952404,0.5060300541379252,0.22807017543859648
HBTASP-Dynamic,150,6,606,1000,3-4,1692,0.48432512044000003,0.6264908753007313,0.0070921985815602835
HBTASP-Dynamic,150,6,707,1000,3-4,1692,0.4851144819763366,0.6306070703052107,0.009456264775413711
HBTASP-Dynamic,150,6,707,1000,1,2280,0.3655979508780944,0.5051488933488495,0.21271929824561403
HBTASP-Dynamic,150,6,707,1000,2,2028,0.43899015264734,0.6025525638779546,0.055226824457593686
HBTASP-Dynamic,150,6,808,1000,3-4,1692,0.48762867129911025,0.645697171438146,0.0070921985815602835
HBTASP-Dynamic,150,6,808,1000,1,2280,0.36141240948770276,0.5209691981627961,0.22105263157894736
HBTASP-Dynamic,150,6,808,1000,2,2028,0.44083654177984555,0.6047628406255788,0.05128205128205128
HBTASP-Dynamic,150,6,909,1000,1,2280,0.3627102462317278,0.5091200197887328,0.22280701754385965
HBTASP-Dynamic,150,6,909,1000,2,2028,0.4353749822616149,0.5974436998222703,0.05719921104536489
HBTASP-Dynamic,150,6,909,1000,3-4,1692,0.49268936874353336,0.6476307585541481,0.0070921985815602835
HBTASP-Dynamic,150,6,1010,1000,1,2280,0.3583144788712417,0.4968777652224265,0.23508771929824562
HBTASP-Dynamic,150,6,1010,1000,3-4,1692,0.4884762592488264,0.6376985855301449,0.0070921985815602835
HBTASP-Dynamic,150,6,1010,1000,2,2028,0.438372520537189,0.6083676186417919,0.05128205128205128
HBTASP-Dynamic,150,8,101,1000,1,3040,0.28128732783297283,0.38308130808021185,0.42894736842105263
HBTASP-Dynamic,150,8,101,1000,3-4,2256,0.39409409854642574,0.42345820746289303,0.05319148936170213
HBTASP-Dynamic,150,8,101,1000,2,2704,0.3504549384180967,0.3715635933747892,0.22189349112426035
HBTASP-Dynamic,150,8,202,1000,3-4,2256,0.3956953579255539,0.4217331098019083,0.031914893617021274
HBTASP-Dynamic,150,8,202,1000,2,2704,0.36212766964274123,0.4020914852032011,0.1952662721893491
HBTASP-Dynamic,150,8,202,1000,1,3040,0.27591818314598676,0.3526257737000995,0.4421052631578947
HBTASP-Dynamic,150,8,303,1000,2,2704,0.37279574232777435,0.3968061548577056,0.17751479289940827
HBTASP-Dynamic,150,8,303,1000,3-4,2256,0.3938927957912913,0.42106324620019114,0.03900709219858156
HBTASP-Dynamic,150,8,303,1000,1,3040,0.28265095898519516,0.36772738771861774,0.4263157894736842
HBTASP-Dynamic,150,8,404,1000,3-4,2256,0.3897184163708766,0.4174010190230473,0.04609929078014184
HBTASP-Dynamic,150,8,404,1000,2,2704,0.36165995414812446,0.37504877599119874,0.1893491124260355
HBTASP-Dynamic,150,8,404,1000,1,3040,0.278429156207076,0.36701499333816806,0.4421052631578947
HBTASP-Dynamic,150,8,505,1000,1,3040,0.27076442010113455,0.32788389860523165,0.44473684210526315
HBTASP-Dynamic,150,8,505,1000,3-4,2256,0.39064689952862935,0.41203628018688304,0.05319148936170213
HBTASP-Dynamic,150,8,505,1000,2,2704,0.35374475172021885,0.36744377820443047,0.21005917159763313
HBTASP-Dynamic,150,8,606,1000,2,2704,0.36656735790866213,0.37841905236419127,0.20118343195266272
HBTASP-Dynamic,150,8,606,1000,1,3040,0.2681118401677076,0.35158382945710287,0.45
HBTASP-Dynamic,150,8,606,1000,3-4,2256,0.38629596655804543,0.4082776826536637,0.0425531914893617
HBTASP-Dynamic,150,8,707,1000,3-4,2256,0.3944963437512648,0.41348540353588553,0.0425531914893617
HBTASP-Dynamic,150,8,707,1000,1,3040,0.2759616595504538,0.368253588113268,0.44473684210526315
HBTASP-Dynamic,150,8,707,1000,2,2704,0.3622786894223778,0.3933304569835199,0.20414201183431951
HBTASP-Dynamic,150,8,808,1000,3-4,2256,0.39804071472395974,0.42189866365984324,0.024822695035460994
HBTASP-Dynamic,150,8,808,1000,1,3040,0.27769985394762414,0.35361239944006884,0.4368421052631579
HBTASP-Dynamic,150,8,808,1000,2,2704,0.3553797991172155,0.3852537763923752,0.20414201183431951
HBTASP-Dynamic,150,8,909,1000,1,3040,0.27638196906587925,0.35164555681109066,0.4394736842105263
HBTASP-Dynamic,150,8,909,1000,2,2704,0.3545450770041776,0.3846992476514651,0.22189349112426035
HBTASP-Dynamic,150,8,909,1000,3-4,2256,0.3897116379414231,0.41921955068913425,0.05319148936170213
HBTASP-Dynamic,150,8,1010,1000,1,3040,0.27231520795418945,0.34616835039549354,0.4394736842105263
HBTASP-Dynamic,150,8,1010,1000,3-4,2256,0.38380114958315853,0.4095805688954663,0.04609929078014184
HBTASP-Dynamic,150,8,1010,1000,2,2704,0.3522589624121101,0.37842369143613047,0.21893491124260356
HBTASP-Dynamic,150,10,101,1000,1,3800,0.21028035411963944,0.24576074747440677,0.5842105263157895
HBTASP-Dynamic,150,10,101,1000,3-4,2820,0.25594467016570244,0.22320906149715933,0.16312056737588654
HBTASP-Dynamic,150,10,101,1000,2,3380,0.26140966977927355,0.23374189721289065,0.3905325443786982
HBTASP-Dynamic,150,10,202,1000,3-4,2820,0.24899124375880194,0.21171009939479757,0.15602836879432624
HBTASP-Dynamic,150,10,202,1000,2,3380,0.27307318811000586,0.2677756164669249,0.38461538461538464
HBTASP-Dynamic,150,10,202,1000,1,3800,0.2083984877626073,0.21704835309395712,0.5894736842105263
HBTASP-Dynamic,150,10,303,1000,2,3380,0.26455971856871635,0.26038869638096795,0.38461538461538464
HBTASP-Dynamic,150,10,303,1000,3-4,2820,0.26252232587415353,0.21947494493659053,0.14113475177304965
HBTASP-Dynamic,150,10,303,1000,1,3800,0.20030147726561737,0.217225844534768,0.6052631578947368
HBTASP-Dynamic,150,10,404,1000,3-4,2820,0.252560186324802,0.22293247089290882,0.14184397163120568
HBTASP-Dynamic,150,10,404,1000,2,3380,0.2648511208473832,0.27864476293478435,0.39644970414201186
HBTASP-Dynamic,150,10,404,1000,1,3800,0.20034740100479245,0.22992849071559882,0.6052631578947368
HBTASP-Dynamic,150,10,505,1000,1,3800,0.19880820642384642,0.19995749919889363,0.6105263157894737
HBTASP-Dynamic,150,10,505,1000,3-4,2820,0.2538744494330597,0.22577391627138602,0.15602836879432624
HBTASP-Dynamic,150,10,505,1000,2,3380,0.2659848799495069,0.25599474774417147,0.40236686390532544
HBTASP-Dynamic,150,10,606,1000,2,3380,0.2622108293922318,0.25993200134747196,0.41420118343195267
HBTASP-Dynamic,150,10,606,1000,1,3800,0.1960974527906522,0.22063784932454084,0.6105263157894737
HBTASP-Dynamic,150,10,606,1000,3-4,2820,0.2556050545106543,0.21113643201671453,0.14184397163120568
HBTASP-Dynamic,150,10,707,1000,3-4,2820,0.27208625223031563,0.23961035032306008,0.14893617021276595
HBTASP-Dynamic,150,10,707,1000,1,3800,0.20841552464666757,0.22648535240247583,0.5894736842105263
HBTASP-Dynamic,150,10,707,1000,2,3380,0.2565899031022111,0.24474836021015034,0.40828402366863903
HBTASP-Dynamic,150,10,808,1000,3-4,2820,0.2596166005102654,0.21942570301363845,0.14113475177304965
HBTASP-Dynamic,150,10,808,1000,1,3800,0.19994019502688806,0.2314689761017321,0.6
HBTASP-Dynamic,150,10,808,1000,2,3380,0.2643300092997467,0.2560483881873226,0.3905325443786982
HBTASP-Dynamic,150,10,909,1000,1,3800,0.21186645117406144,0.22049145767628556,0.5842105263157895
HBTASP-Dynamic,150,10,909,1000,2,3380,0.2737631816990743,0.25976711332978536,0.38461538461538464
HBTASP-Dynamic,150,10,909,1000,3-4,2820,0.2680379899289372,0.24584483802473445,0.1276595744680851
HBTASP-Dynamic,150,10,1010,1000,1,3800,0.20045693884096405,0.22878461201153594,0.6
HBTASP-Dynamic,150,10,1010,1000,3-4,2820,0.2602944052599732,0.23828578288511643,0.1347517730496454
HBTASP-Dynamic,150,10,1010,1000,2,3380,0.27345696084196053,0.27942127220706836,0.38461538461538464
HBTASP-Dynamic,200,4,101,1000,1,1520,0.42282756970527813,0.5435038706086722,0.1394736842105263
HBTASP-Dynamic,200,4,101,1000,3-4,1128,0.5802084602144394,0.6682941904091129,0.0070921985815602835
HBTASP-Dynamic,200,4,101,1000,2,1352,0.4968918242034804,0.6157037505938764,0.04142011834319527
HBTASP-Dynamic,200,4,202,1000,3-4,1128,0.5765929264704673,0.6577519733985723,0.0070921985815602835
HBTASP-Dynamic,200,4,202,1000,2,1352,0.4911017251189734,0.6113804736165649,0.03550295857988166
HBTASP-Dynamic,200,4,202,1000,1,1520,0.42665435247085015,0.5473530602263337,0.12105263157894737
HBTASP-Dynamic,200,4,303,1000,2,1352,0.5045075352679668,0.6171546719924464,0.030325443786982247
HBTASP-Dynamic,200,4,303,1000,3-4,1128,0.5736955398396189,0.6620861810816233,0.0070921985815602835
HBTASP-Dynamic,200,4,303,1000,1,1520,0.42631871475816313,0.5543068321724318,0.13157894736842105
HBTASP-Dynamic,200,4,404,1000,3-4,1128,0.5739347056665016,0.6636175222578818,0.0070921985815602835
HBTASP-Dynamic,200,4,404,1000,2,1352,0.4964368213151321,0.6114700997351634,0.03476331360946745
HBTASP-Dynamic,200,4,404,1000,1,1520,0.418573817260043,0.538980739716324,0.1368421052631579
HBTASP-Dynamic,200,4,505,1000,1,1520,0.4326571026639469,0.5462389320830452,0.12631578947368421
HBTASP-Dynamic,200,4,505,1000,3-4,1128,0.5743012203951352,0.659235137932697,0.0070921985815602835
HBTASP-Dynamic,200,4,505,1000,2,1352,0.5010936215829895,0.6233844009384223,0.03550295857988166
HBTASP-Dynamic,200,4,606,1000,2,1352,0.4941742587808545,0.596377376895183,0.03772189349112426
HBTASP-Dynamic,200,4,606,1000,1,1520,0.41851242362311986,0.5339622721063194,0.12631578947368421
