configuration,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,scheduler,total_mandatory,missed_mandatory,mandatory_dmr,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,release_mode,wcet_scale,mandatory_infeasible,optional_skipped,dispatch_infeasible,budget_mode,network_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count
EDF-Dynamic-Reservation,20000,5820,0,14180,0,0,50,5,1000,101,edf_dynamic_reservation,5000,3950,0.79,0.6351084192440081,0.18481655000000635,0.14456400000000028,5820,0.17921892124996555,5000,5000,0.15462857486913167,1910,0.43848120946230373,0.1939026632842213,0.8060973367157787,0.694,0.28385263459317206,0.45793867111206055,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5840,0,14160,0,0,50,5,1000,202,edf_dynamic_reservation,5000,3830,0.766,0.6338159246575559,0.18507425000000632,0.16108560000000033,5840,0.18357874000445476,5000,5000,0.15043401576427481,1850,0.43661737221025565,0.16105520822489125,0.8389447917751087,0.68,0.2861833564459808,0.46359705924987793,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5880,0,14120,0,0,50,5,1000,303,edf_dynamic_reservation,5000,3830,0.766,0.6339777210884577,0.1863894500000066,0.16108560000000033,5880,0.18133983201744655,5000,5000,0.16847241867930807,1910,0.48056830249617766,0.24091994008267853,0.7590800599173215,0.664,0.3120958838168696,0.46532225608825684,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5690,0,14310,0,0,50,5,1000,404,edf_dynamic_reservation,5000,3860,0.772,0.6371715289982636,0.18127530000000597,0.15695520000000032,5690,0.1802283019690556,5000,5000,0.16388863162520034,1870,0.47609862341302933,0.21589688338764815,0.7841031166123519,0.674,0.312209991787829,0.4994814395904541,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5740,0,14260,0,0,50,5,1000,505,edf_dynamic_reservation,5000,3790,0.758,0.6350271777003716,0.18225280000000665,0.16659280000000032,5740,0.18469928750597797,5000,5000,0.1506699211490958,1940,0.43274943906117036,0.20378977965061307,0.7962102203493869,0.664,0.28207951791207453,0.4780445098876953,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5840,0,14160,0,0,50,5,1000,606,edf_dynamic_reservation,5000,3890,0.778,0.6347289383561858,0.18534085000000627,0.1528248000000003,5840,0.18244302860177466,5000,5000,0.15172293756095118,1840,0.4527751362773562,0.15774373187188218,0.8422562681281178,0.674,0.30105219871640504,0.4604325294494629,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5880,0,14120,0,0,50,5,1000,707,edf_dynamic_reservation,5000,3850,0.77,0.6355646258503607,0.18685600000000602,0.1583320000000003,5880,0.18317364441098807,5000,5000,0.16136712108927648,1900,0.4671749712576341,0.18960124714279555,0.8103987528572044,0.668,0.3058078501683576,0.45734190940856934,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5840,0,14160,0,0,50,5,1000,808,edf_dynamic_reservation,5000,3740,0.748,0.6338159246575585,0.1850742500000071,0.17347680000000035,5840,0.18527834533952112,5000,5000,0.14163677574441516,1880,0.42071822694694705,0.16681433337199125,0.8331856666280087,0.682,0.2790814512025319,0.5148983001708984,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5770,0,14230,0,0,50,5,1000,909,edf_dynamic_reservation,5000,3870,0.774,0.633989428076278,0.1829059500000062,0.1555784000000003,5770,0.18073300341886528,5000,5000,0.15102887254552633,1900,0.43328494535125944,0.19125883991091036,0.8087411600890897,0.688,0.2822560728057331,0.4704098701477051,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,20000,5810,0,14190,0,0,50,5,1000,1010,edf_dynamic_reservation,5000,3810,0.762,0.6346108433735175,0.18435445000000683,0.16383920000000032,5810,0.1841223094178676,5000,5000,0.15693774136186844,1900,0.4522964536067303,0.19891764385098612,0.8010823561490139,0.67,0.2953587122448619,0.4658219814300537,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5788,0,18212,0,0,50,6,1000,101,edf_dynamic_reservation,6000,4900,0.8166666666666667,0.6354907394609741,0.15325918333333827,0.1262066666666669,5788,0.15014339038561947,6000,6000,0.12897680106153991,1888,0.4497048027138368,0.1542650949950672,0.8457349050049328,0.732,0.32072800165229687,0.5825185775756836,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5752,0,18248,0,0,50,6,1000,202,edf_dynamic_reservation,6000,4808,0.8013333333333333,0.6350742698192164,0.15220613333333888,0.1367621333333336,5752,0.15225443409219855,6000,6000,0.1302384381218505,1880,0.45234080517110214,0.1601253022537849,0.839874697746215,0.734,0.32210236704925166,0.5700328350067139,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5804,0,18196,0,0,50,6,1000,303,edf_dynamic_reservation,6000,4888,0.8146666666666667,0.6352760854583259,0.1536309333333385,0.12758346666666692,5804,0.15112718493236463,6000,6000,0.12910710117995186,1876,0.4429704990763431,0.16982580549103637,0.8301741945089636,0.7306666666666667,0.3138633978963913,0.5762710571289062,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5820,0,18180,0,0,50,6,1000,404,edf_dynamic_reservation,6000,4844,0.8073333333333333,0.634787766323046,0.15393603333333866,0.13263173333333358,5820,0.15269685065330246,6000,6000,0.12712742907023883,1860,0.44603054281143245,0.16012054900417635,0.8398794509958236,0.7326666666666667,0.3189031137411936,0.5911469459533691,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5772,0,18228,0,0,50,6,1000,505,edf_dynamic_reservation,6000,4848,0.808,0.6353370755370981,0.15279856666667208,0.13217280000000026,5772,0.15195907873992212,6000,6000,0.12606938463002343,1876,0.4428709499282086,0.15638427500840543,0.8436157249915945,0.7313333333333333,0.31680156529818515,0.5765604972839355,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5780,0,18220,0,0,50,6,1000,606,edf_dynamic_reservation,6000,4876,0.8126666666666666,0.6358291349481183,0.15312885000000517,0.12896026666666693,5780,0.15007679668749546,6000,6000,0.12538684191385163,1856,0.4493113838732052,0.15047623302385832,0.8495237669761417,0.7353333333333333,0.32392454195935355,0.5764961242675781,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5868,0,18132,0,0,50,6,1000,707,edf_dynamic_reservation,6000,4812,0.802,0.6344291751874801,0.15511793333333887,0.13630320000000026,5868,0.15415605823228296,6000,6000,0.1284178384534368,1876,0.4508443789134096,0.15731091140319142,0.8426890885968086,0.7326666666666667,0.3224265404599728,0.5869193077087402,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5748,0,18252,0,0,50,6,1000,808,edf_dynamic_reservation,6000,4884,0.814,0.6365427974948006,0.15245200000000472,0.12804240000000025,5748,0.1495319532035765,6000,6000,0.12470029208875631,1872,0.4396183288649081,0.147791251454515,0.852208748545485,0.738,0.31491803677615177,0.5878262519836426,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5816,0,18184,0,0,50,6,1000,909,edf_dynamic_reservation,6000,4896,0.816,0.6347720770289075,0.1538264333333386,0.12666560000000024,5816,0.15073759506858414,6000,6000,0.12765679010993158,1844,0.45002452593852443,0.15685100015927508,0.8431489998407249,0.736,0.32236773582859285,0.6076986789703369,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,24000,5840,0,18160,0,0,50,6,1000,1010,edf_dynamic_reservation,6000,4868,0.8113333333333334,0.6344093835616661,0.15437295000000542,0.1298781333333336,5840,0.15142627789080515,6000,6000,0.12851190577125324,1880,0.44829283842305073,0.16083389362606537,0.8391661063739346,0.734,0.3197809326517975,0.5799214839935303,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5792,0,22208,0,0,50,7,1000,101,edf_dynamic_reservation,7000,5840,0.8342857142857143,0.6346774861878678,0.13128757142857608,0.1140777142857145,5792,0.13002189302753578,7000,7000,0.11100170511328114,1888,0.4495754563026485,0.13688698284757103,0.8631130171524289,0.7688571428571429,0.3385737511893674,0.6896815299987793,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5796,0,22204,0,0,50,7,1000,202,edf_dynamic_reservation,7000,5836,0.8337142857142857,0.6345093167702086,0.1313434285714332,0.11447108571428594,5796,0.1304270342400364,7000,7000,0.11084703279515305,1880,0.4503696533888084,0.13662715161917563,0.8633728483808244,0.7697142857142857,0.33952262059365534,0.6960544586181641,periodic,1.0,,,,,,,,,,,,
