scenario,period_ms,lines,epochs,seed,overrun_probability,overrun_min_extra,overrun_max_extra,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,budget_mode,network_mode,overrun_count,overrun_rate_observed,iit_celsius_seconds,peak_temperature_c,mandatory_total,mandatory_missed,mandatory_dmr
rare_hidden_overrun,250,4,1000,909,0.005,0.1,0.7,16000,0,0,0,0,16000,0,3,assigned_level_sensitivity,dynamic,70,0.004375,0.0017808111580265996,60.12266998023185,4000,0,0.0
rare_hidden_overrun,250,4,1000,1010,0.005,0.1,0.7,16000,0,24,0,0,15976,1,6,assigned_level_sensitivity,dynamic,62,0.0038808212318477715,0.0022381699248182813,60.13208743418835,4000,0,0.0
rare_hidden_overrun,300,4,1000,101,0.005,0.1,0.7,16000,0,0,0,0,16000,0,1,assigned_level_sensitivity,dynamic,84,0.00525,0.0005446940247327281,60.06874132067243,4000,0,0.0
rare_hidden_overrun,300,4,1000,202,0.005,0.1,0.7,16000,0,0,0,0,16000,0,4,assigned_level_sensitivity,dynamic,71,0.0044375,0.0014894618058155038,60.07152045062227,4000,0,0.0
rare_hidden_overrun,300,4,1000,303,0.005,0.1,0.7,16000,0,0,0,0,16000,0,2,assigned_level_sensitivity,dynamic,86,0.005375,0.00024236454511761808,60.04227422266634,4000,0,0.0
rare_hidden_overrun,300,4,1000,404,0.005,0.1,0.7,16000,0,0,0,0,16000,0,4,assigned_level_sensitivity,dynamic,85,0.0053125,0.0003824930618675699,60.07186450898232,4000,0,0.0
rare_hidden_overrun,300,4,1000,505,0.005,0.1,0.7,16000,0,0,0,0,16000,0,4,assigned_level_sensitivity,dynamic,81,0.0050625,0.0009755870198210363,60.08647895167783,4000,0,0.0
rare_hidden_overrun,300,4,1000,606,0.005,0.1,0.7,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,75,0.0046875,0.0,59.99988232809592,4000,0,0.0
rare_hidden_overrun,300,4,1000,707,0.005,0.1,0.7,16000,0,0,0,0,16000,0,6,assigned_level_sensitivity,dynamic,75,0.0046875,0.00252240265447358,60.138241276493254,4000,0,0.0
rare_hidden_overrun,300,4,1000,808,0.005,0.1,0.7,16000,0,0,0,0,16000,0,4,assigned_level_sensitivity,dynamic,81,0.0050625,0.0029004033370875703,60.11240527948699,4000,0,0.0
rare_hidden_overrun,300,4,1000,909,0.005,0.1,0.7,16000,0,0,0,0,16000,0,1,assigned_level_sensitivity,dynamic,70,0.004375,0.0026161698447796145,60.150652654418494,4000,0,0.0
rare_hidden_overrun,300,4,1000,1010,0.005,0.1,0.7,16000,0,0,0,0,16000,0,1,assigned_level_sensitivity,dynamic,62,0.003875,0.00011653705064121952,60.03586889199403,4000,0,0.0
