time_s,gpu,temperature_c,voltage_v
2.281,1,49.71190432118894,0.88
2.282,1,49.72579216732291,0.88
2.283,1,49.739672990760496,0.88
2.2840000000000003,1,49.75354679505289,0.88
2.285,1,49.76741358374946,0.88
2.286,1,49.7812733603978,0.88
2.287,1,49.795126128543714,0.88
2.2880000000000003,1,49.808971891731204,0.88
2.289,1,49.82281065350247,0.88
2.29,1,49.836642417397954,0.88
2.291,1,49.85046718695628,0.88
2.2920000000000003,1,49.86428496571428,0.88
2.293,1,49.87809575720702,0.88
2.294,1,49.891899564967744,0.88
2.295,1,49.90569639252796,0.88
2.2960000000000003,1,49.91948624341734,0.88
2.297,1,49.93326912116379,0.88
2.298,1,49.94704502929344,0.88
2.299,1,49.96081397133064,0.88
2.3000000000000003,1,49.974575950797934,0.88
2.301,1,49.98833097121611,0.88
2.302,1,50.00207903610415,0.88
2.303,1,50.01582014897929,0.88
2.3040000000000003,1,50.02955431335697,0.88
2.305,1,50.043281532750825,0.88
2.306,1,50.05700181067276,0.88
2.307,1,50.07071515063288,0.88
2.308,1,50.08442155613953,0.88
2.309,1,50.09812103069926,0.88
2.31,1,50.11181357781685,0.88
2.311,1,50.12549920099531,0.88
2.312,1,50.1391779037359,0.88
2.313,1,50.15284968953809,0.88
2.314,1,50.16651456189957,0.88
2.315,1,50.18017252431628,0.88
2.316,1,50.1938235802824,0.88
2.317,1,50.207467733290315,0.88
2.318,1,50.22110498683065,0.88
2.319,1,50.23473534439229,0.88
2.32,1,50.24835880946234,0.88
2.321,1,50.26197538552613,0.88
2.322,1,50.275585076067244,0.88
2.323,1,50.2891878845675,0.88
2.324,1,50.30278381450694,0.88
2.325,1,50.316372869363875,0.88
2.326,1,50.32995505261484,0.88
2.327,1,50.343530367734616,0.88
2.328,1,50.35709881819622,0.88
2.329,1,50.37066040747093,0.88
2.33,1,50.384215139028235,0.88
2.331,1,50.397763016335915,0.88
2.332,1,50.41130404285995,0.88
2.333,1,50.424838222064615,0.88
2.334,1,50.43836555741239,0.88
2.335,1,50.44671127066093,0.6
2.336,1,50.43637185515884,0.6
2.337,1,50.42603766801074,0.6
2.338,1,50.41570870657282,0.6
2.339,1,50.40538496820257,0.6
2.34,1,50.395066450258824,0.6
2.341,1,50.384753150101766,0.6
2.342,1,50.37444506509291,0.6
2.343,1,50.36414219259509,0.6
2.344,1,50.35384452997249,0.6
2.345,1,50.343552074590626,0.6
2.346,1,50.333264823816336,0.6
2.347,1,50.322982775017806,0.6
2.348,1,50.31270592556453,0.6
2.349,1,50.302434272827334,0.6
2.35,1,50.292167814178406,0.6
2.351,1,50.28190654699124,0.6
2.352,1,50.27165046864063,0.6
2.353,1,50.282477747721984,0.88
2.354,1,50.296077070790446,0.88
2.355,1,50.30966951706059,0.88
2.356,1,50.32325509000982,0.88
2.357,1,50.3368337931138,0.88
2.358,1,50.350405629846385,0.88
2.359,1,50.36397060367973,0.88
2.36,1,50.3775287180842,0.88
2.361,1,50.39107997652843,0.88
2.362,1,50.40462438247928,0.88
2.363,1,50.418161939401855,0.88
2.364,1,50.431692650759544,0.88
2.365,1,50.445216520013936,0.88
2.366,1,50.4587335506249,0.88
2.367,1,50.47224374605054,0.88
2.368,1,50.485747109747216,0.88
2.369,1,50.499243645169564,0.88
2.37,1,50.51273335577043,0.88
2.371,1,50.526216245000946,0.88
2.372,1,50.539692316310486,0.88
2.373,1,50.553161573146696,0.88
2.374,1,50.56662401895544,0.88
2.375,1,50.580079657180875,0.88
2.376,1,50.5935284912654,0.88
2.3770000000000002,1,50.60697052464971,0.88
2.378,1,50.62040576077269,0.88
2.379,1,50.633834203071544,0.88
2.38,1,50.64725585498172,0.88
2.3810000000000002,1,50.66067071993693,0.88
2.382,1,50.674078801369134,0.88
2.383,1,50.68748010270859,0.88
2.384,1,50.70087462738378,0.88
2.3850000000000002,1,50.7142623788215,0.88
2.386,1,50.72764336044676,0.88
2.387,1,50.741017575682875,0.88
2.388,1,50.74414949515547,0.6
2.3890000000000002,1,50.73365967344037,0.6
2.39,1,50.7231751561355,0.6
2.391,1,50.71269594055855,0.6
2.392,1,50.70222202402861,0.6
2.3930000000000002,1,50.69175340386607,0.6
2.394,1,50.68129007739274,0.6
2.395,1,50.67083204193172,0.6
2.396,1,50.660379294807505,0.6
2.3970000000000002,1,50.64993183334593,0.6
2.398,1,50.63948965487418,0.6
2.399,1,50.629052756720796,0.6
2.4,1,50.61862113621567,0.6
2.4010000000000002,1,50.608194790690035,0.6
2.402,1,50.5977737174765,0.6
2.403,1,50.587357913908974,0.6
2.404,1,50.576947377322774,0.6
2.4050000000000002,1,50.56654210505451,0.6
2.406,1,50.55614209444218,0.6
2.407,1,50.54574734282511,0.6
2.408,1,50.53535784754396,0.6
2.4090000000000003,1,50.524973605940765,0.6
2.41,1,50.514594615358874,0.6
2.411,1,50.504220873143,0.6
2.412,1,50.493852376639175,0.6
2.4130000000000003,1,50.4834891231948,0.6
2.414,1,50.47313111015862,0.6
2.415,1,50.46277833488068,0.6
2.416,1,50.45243079471241,0.6
2.4170000000000003,1,50.44208848700656,0.6
2.418,1,50.43175140911721,0.6
2.419,1,50.42141955839979,0.6
2.42,1,50.411092932211076,0.6
2.4210000000000003,1,50.40077152790916,0.6
2.422,1,50.39045534285348,0.6
