,,pre_execution_rejection_ratio,pre_execution_rejection_ratio,admitted_deadline_violation_ratio,admitted_deadline_violation_ratio,full_image_on_time_acceptance,full_image_on_time_acceptance,mean_complete_image_dice,mean_complete_image_dice,pixel_defect_recall,pixel_defect_recall,image_complete_miss_rate,image_complete_miss_rate,peak_modeled_temperature,peak_modeled_temperature
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
period_ms,lines,,,,,,,,,,,,,,
100,7,0.7857142857142857,0.0,0.0,0.0,0.1428571428571428,0.0,0.11151177373824088,6.703608384223791e-17,0.137102021272884,0.0,0.7751428571428571,0.0,59.999956071695735,4.9530116899770065e-05
100,8,0.8125,0.0,0.0,0.0,0.125,0.0,0.0964529118680249,0.004475992332098425,0.11204791753677919,0.009104350683795661,0.8048,0.007269418439218092,59.99980686273002,0.00022550748484255175
100,9,0.8333333333333334,0.0,0.0,0.0,0.11111111111111112,0.0,0.08673137957418733,7.601177430610147e-17,0.1066349054344653,0.0,0.8251111111111111,0.0,59.999893107324354,0.00011236924248783415
100,10,0.85,0.0,0.0,0.0,0.1,0.0,0.08069573113366646,0.004702653126999909,0.09880579961294259,0.014242853167715163,0.8416,0.007820201759261451,59.99946183018942,0.0005543612057250692
150,4,0.375,0.0,0.0,0.0,0.5,0.0,0.31696466655923816,0.003924553242622844,0.3899479898328815,0.01379370744433297,0.3734,0.007834397090892061,59.99995202772684,4.310409350058889e-05
150,5,0.5,0.0,0.0,0.0,0.4,0.0,0.25757782054249856,0.008488058752306887,0.32108800894424194,0.02618297930521099,0.4976,0.011880890351970921,59.999972848868154,1.973300236227055e-05
150,6,0.5833333333333334,0.0,0.0,0.0,0.3333333333333333,0.0,0.21290880717154037,0.0026636481951103153,0.2656401378464367,0.005766025197280243,0.5809333333333333,0.003707849531486983,59.99994417653098,4.740812733421828e-05
150,7,0.6428571428571429,0.0,0.0,0.0,0.2857142857142857,0.0,0.18220970239517767,1.2133698720406817e-16,0.2273517596371085,0.0,0.6417142857142857,0.0,59.99997209175149,1.7697812660154224e-05
150,8,0.6875,0.0,0.0,0.0,0.25,0.0,0.158482333279619,0.001962276621311373,0.19497399491644068,0.006896853722166487,0.6867,0.003917198545445949,59.99993352932662,5.409324132838719e-05
150,9,0.7222222222222222,0.0,0.0,0.0,0.22222222222222224,0.0,0.14171865741847156,7.795754572600362e-17,0.1768291463844178,0.0,0.7213333333333334,0.0,59.99994609054319,4.3436598738722165e-05
150,10,0.75,0.0,0.0,0.0,0.2,0.0,0.12943626695260668,0.006773228345754763,0.1597160529575749,0.018004945825712482,0.7476,0.011147495981908536,59.99995244810883,4.49919675927189e-05
200,4,0.125,0.0,0.0,0.0,0.75,0.0,0.44021750647659613,0.005012611107748778,0.5514734730343617,0.006358180312380569,0.14020000000000002,0.008297255235585096,59.999867976851604,7.038876775610346e-05
200,5,0.3,0.0,0.0,0.0,0.6,0.0,0.3545882551095988,0.005807856026453988,0.44455559080653384,0.021250084665223715,0.313,0.007788880963698624,59.99990733414116,6.155187934944711e-05
200,6,0.4166666666666667,0.0,0.0,0.0,0.5,0.0,0.2941653616942817,0.0022820813411236754,0.3691598120273865,0.0033538214340520056,0.4268666666666666,0.003611367512264824,59.99993654397938,6.848924529315225e-05
200,7,0.5,0.0,0.0,0.0,0.4285714285714285,0.0,0.25290763105211467,1.0302433652168841e-16,0.3176014980013331,0.0,0.5082857142857143,0.0,59.999912185522795,4.5563501922633024e-05
200,8,0.5625,0.0,0.0,0.0,0.375,0.0,0.22010875323829807,0.0025063055538744592,0.2757367365171808,0.003179090156190273,0.5700999999999999,0.004148627617792521,59.9998603945258,5.314302127813382e-05
200,9,0.6111111111111112,0.0,0.0,0.0,0.3333333333333333,0.0,0.1967059352627558,8.825710545880231e-17,0.2470233873343702,0.0,0.6175555555555555,0.0,59.99994572841872,4.78231880919436e-05
200,10,0.65,0.0,0.0,0.0,0.3,0.0,0.17733045279471654,0.0058838291154436,0.2187697364608836,0.019636768761414937,0.6568,0.007955431408094038,59.99988234009563,5.9278993611837546e-05
250,4,0.0,0.0,0.0,0.0,1.0,0.0,0.49488550059855746,3.640109616122045e-16,0.6317481685495717,0.0,0.066,0.0,59.999825473633464,0.0001510241485392088
250,5,0.1,0.0,0.0,0.0,0.8,0.0,0.4520185178235526,0.003528816097763398,0.5702301037145328,0.01281215976763514,0.1278,0.004661902329879231,59.99985697816429,0.0001021895034732433
250,6,0.25,0.0,0.0,0.0,0.6666666666666666,0.0,0.3778706407043932,0.0026636481951105282,0.4762228606962939,0.005766025197280267,0.26959999999999995,0.003707849531486978,59.99990085787543,7.385878009578079e-05
