total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,pre_execution_rejections,pre_execution_rejection_ratio,admitted_deadline_violations,admitted_deadline_violation_ratio,fully_accepted_images,full_image_on_time_acceptance,peak_modeled_temperature,mean_voltage,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,hardware_input_gpu0,hardware_input_gpu1,simulation_host
24000,21000,0,0,0,3000,0,0,50,6,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.99996639176413,0.8476133333333503,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08694291179331326,6000,6000,0.06911063973193254,936,0.482072569635962,0.08587822454752292,0.9141217754524771,0.8626666666666667,0.41296192990402947,0.3429718017578125,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.99992360148437,0.8474800000000169,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08747437308502377,6000,6000,0.06877530974099517,936,0.48182180558887355,0.08367812938911429,0.9163218706108858,0.8646666666666667,0.4130464958478784,0.33593273162841797,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.99998313309153,0.8474266666666835,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08728170502857396,6000,6000,0.06907817048673083,928,0.4898140773963106,0.07531919650958716,0.9246808034904128,0.866,0.4207359069095798,0.33064937591552734,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.999870921646384,0.847500000000017,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08713526680977879,6000,6000,0.07363033811902442,948,0.5061634522258872,0.08726023874006684,0.9127397612599332,0.86,0.4325331141068628,0.3332204818725586,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.99989233239559,0.8474000000000168,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08799586871003429,6000,6000,0.0690951445035096,940,0.4775805998198074,0.08454954016706107,0.9154504598329389,0.8673333333333333,0.40848545531629776,0.326169490814209,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.99944339545528,0.847560000000017,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08729757856038599,6000,6000,0.07092240636073091,952,0.48175098978334646,0.0900766627725738,0.9099233372274262,0.8606666666666667,0.4108285834226155,0.3348853588104248,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.99885480905559,0.847560000000017,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.087436844041137,6000,6000,0.0716738643274491,956,0.4821537839576211,0.0858093711167771,0.9141906288832229,0.8633333333333333,0.410479919630172,0.32944583892822266,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.99974858501994,0.8475066666666835,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08766416117486207,6000,6000,0.07278490638139967,948,0.4983098075674472,0.09738520991490501,0.9026147900850949,0.862,0.4255249011860475,0.32160520553588867,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.99944454509609,0.8475166666666836,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08699478375073773,6000,6000,0.07051794761745164,952,0.4757544502642601,0.09102360351106338,0.9089763964889366,0.8613333333333333,0.40523650264680844,0.3317134380340576,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
24000,21000,0,0,0,3000,0,0,50,6,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,21000,0.875,0,0.0,0,0.0,59.998984504504456,0.8474533333333502,0.6884000000000013,0.08605000000000017,0.08605000000000017,3000,0.08675707410061427,6000,6000,0.07044863411488393,964,0.4763298405210314,0.08361663937394702,0.916383360626053,0.858,0.40588120640614744,0.33087778091430664,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
