configuration,period_ms,lines,seed,epochs,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s,admission_infeasible,scheduler,early_exit
Static-V,100,10,303,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,72f4a780a924c370b4e0f79ceff95e6c13e99e499ef58be4b869d68d4f51cd1c,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.22739803657703153,10000,10000,0.16215227759650871,5620,0.37800908904403496,0.16694506147394203,0.8330549385260579,0.598,0.21585681144752625,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,404,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,adc4d22cc1b03f53d681c17d2bb0b0520921b513b27c41ce62fcd480deab5955,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.22781353750599162,10000,10000,0.16614021616833832,5640,0.3965858381530075,0.18882643998117055,0.8111735600188295,0.574,0.2304456219846692,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,505,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,72371a6dc2392aa631a2f1a80556a510e93ef225cc1a7e07482cb1ad30663640,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.22953427423539022,10000,10000,0.16456036816478073,5700,0.38685338750909903,0.18144763816109905,0.818552361838901,0.58,0.2222930193443183,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,606,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,903a0f173f46d881f64c89dd6f644e1f36c9438a2dc8bf2dd26576201fbfc42f,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.22829746004289364,10000,10000,0.17438265150086438,5840,0.3862514390851168,0.17236829947384824,0.8276317005261518,0.57,0.2118687875842524,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,707,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,013c9d9f2e8835d1195b690780ad4a7dde5a40c816ed2c5eecc755fd9402198c,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.22922876566529898,10000,10000,0.17934598805270813,5920,0.3886709697823253,0.18973683839607994,0.8102631616039201,0.562,0.20932498172961717,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,808,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,4802fffd4eb60a7f490c928b0e7b1988ba6d3b0af4fa286453bae90d24f9aa25,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.22808585998324646,10000,10000,0.18613283255495555,5900,0.4043708407561296,0.20503153176655786,0.7949684682334421,0.566,0.21823800820117406,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,909,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,bcc4bd9bcf311ca8bd1be474f6e2d488cb7a8c39b1a2701ed39f21885120600c,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.2277703060464773,10000,10000,0.1767372264646581,5920,0.3888452486876107,0.1846907831165563,0.8153092168834437,0.558,0.21210802222295264,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,1010,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,94917fed05a933472c176ccc8c4d3a3bfd4010636e8520465ce79b1a92644bd3,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.23021276354375353,10000,10000,0.16924453078927393,5820,0.37833848604985354,0.17800502157467027,0.8219949784253298,0.58,0.2090939552605796,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,150,4,101,1000,16000,0,616,0,0,15384,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,358345139b329c40140caebe1f44495eb1cb4ce7057ad9123725a473225c7759,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6570948517940204,0.6317966999999507,0.6884000000000013,15384,0.6507793289048084,4000,4000,0.48393344888879686,3992,0.4921052562569261,0.6262317064113891,0.37376829358861086,0.074,0.008171807368129225,59.241598259472,0.0,59.83697180748353,149.99949999999998,,,
Static-V,150,4,202,1000,16000,0,658,0,0,15342,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,34b8939f5e22fe77656bcf596b267a8e14848f4c8183e258a0aa6bf6964bce30,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6573140138182244,0.63028197499995,0.6884000000000013,15342,0.6512713734313683,4000,4000,0.48495571469566406,3992,0.49194099853878664,0.6271959704092902,0.3728040295907098,0.078,0.0069852838431225805,59.2186230975661,0.0,59.84598899854071,149.99740000000008,,,
Static-V,150,4,303,1000,16000,0,680,0,0,15320,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,cb9cf6119f28cbbe2f515263b460577c6bf03d42557f7919b99931e42d877f4b,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6572280417754023,0.6292958499999477,0.6884000000000013,15320,0.6500555957508991,4000,4000,0.4873272686224611,4000,0.4924253764969372,0.6215719007445649,0.3784280992554351,0.076,0.0050981078744760655,59.2714183809172,0.0,59.8263535632564,149.99949999999998,,,
Static-V,150,4,404,1000,16000,0,744,0,0,15256,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,19660c8d7c38bf482c258d456033c0235b91bafa3f9150f8928502cb0b6a233e,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6580732039852653,0.6274727999999504,0.6884000000000013,15256,0.6488008952901284,4000,4000,0.4824142504477537,4000,0.48919003842126435,0.6121766220732174,0.38782337792678256,0.082,0.0067757879735106386,59.28319379957578,0.0,59.868046021744924,149.9997,,,
