cooling_enabled,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,plant_thermal_response_factor,plant_ambient_c,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,total_mandatory,mandatory_pre_execution_rejections,mandatory_rejection_ratio,admitted_mandatory_deadline_violations,admitted_mandatory_violation_ratio,peak_modeled_temperature,mean_voltage,completed_l1,completed_l2,completed_l3,completed_l4,completed_l5,dispatches,cooling_branch_dispatches,cooling_branch_rate,cooling_locally_decreasing_dispatches,cooling_locally_decreasing_rate,cooling_mean_planned_delta_c,cooling_total_iit_celsius_seconds,total_iit_celsius_seconds,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,6a4dad3977b85b88fe0df3b8aa631eda18869a7251a7750b2f82bb25786a2fbd,40,6,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.15969492610855313,6000,6000,0.08441378386445487,2188,0.34148662990494005,0.11684616778042449,0.8831538322195756,0.7506666666666667,0.2570728460404852,2.149110794067383
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,33563e7a02259ccd5538d8dba6585e82daf158ccb83f8fa21592992639e82c21,40,6,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.15980686404235717,6000,6000,0.07844667698293788,2136,0.3312926076606794,0.09987008791835775,0.9001299120816423,0.7626666666666667,0.2528459306777415,2.137148141860962
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,257399eca8bfe4dd77587a6d52c47a170e46216901bcb6faabee18d46ca7e5fd,40,6,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.15964221520105268,6000,6000,0.07955884556578884,2168,0.3300616486053578,0.1026549152049119,0.8973450847950881,0.7613333333333333,0.25050280303956896,2.138612985610962
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,faf33b09b24a381669bca80fe7bff5cf6d08fad7133f8cfc2d5ca370f51adc22,40,6,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.1595149201424691,6000,6000,0.08210419617921531,2168,0.33651984491924564,0.10997522183182382,0.8900247781681762,0.7553333333333333,0.2544156487400303,2.115237236022949
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,63b6d747d0072e50ec76db2589c47c689fce2bad9506fd548237038851a113da,40,6,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.15963125120853225,6000,6000,0.07855541349578005,2144,0.33057774034234305,0.11016595627565363,0.8898340437243464,0.7633333333333333,0.252022326846563,2.151520013809204
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,3d9622dd72654837a49db96461700a69da368fd692b6e6f83d722ad648f50e21,40,6,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.15975236270599089,6000,6000,0.08242111958617564,2172,0.33898759394916106,0.0990525564611183,0.9009474435388817,0.7533333333333333,0.2565664743629854,2.1432812213897705
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,172bfd6bc25d3b2aeebad37e40360cccea4f70b0181ab26f412ae6d78059bb20,40,6,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.1596689321013145,6000,6000,0.08240954038354054,2168,0.3377915868674302,0.10915139850082507,0.8908486014991749,0.7533333333333333,0.2553820464838897,2.1397457122802734
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,6c0fc56e1361825e2407d8ff04b487a90ba411735adb09a2a7bc492b395001ed,40,6,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.15965929503629395,6000,6000,0.08515155625280234,2168,0.34774084531624283,0.11238311367687678,0.8876168863231232,0.748,0.2625892890634405,2.149214029312134
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,4d79813b7e35e595ce461e9cf5f636bd0f0345093fcf2de489cd6dd6dbe6b8a2,40,6,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.15978598002341016,6000,6000,0.07842480923876217,2128,0.33079875546631066,0.0999218516308578,0.9000781483691422,0.7633333333333333,0.2523739462275485,2.1304006576538086
False,24000,4000,15000,0,0,5000,0,0,6000,6000,4000,0,0,2000,0,0.6666666666666666,0.0,0.6666666666666666,f18877a3c826826cf97db213fe4657d174d4c69a2cbeacfb521a74de6c723b70,40,6,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,6000,4000,0.6666666666666666,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.12974166666667147,0.22946666666666712,5000,0.15972306828369506,6000,6000,0.07950300374777822,2136,0.3327829829314477,0.09989264524742492,0.9001073547525751,0.76,0.2532799791836695,2.135523557662964
