period_ms,lines,seed,mandatory_rejection_ratio,admitted_mandatory_violation_ratio,mean_voltage,peak_modeled_temperature,total_iit_celsius_seconds,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
60,4,707,0.0,0.0,-0.0002957142857145101,-0.004443250828892076,0.0,-2.1277904480199172e-05,-8.394087693830432e-05,0.0
60,4,808,0.0,0.0,-0.00031571428571441906,-0.004443250828892076,0.0,-2.31880062827039e-05,-0.00010684508332520215,0.0
60,4,909,0.0,0.0,-0.0003471428571428792,-0.004443250828892076,0.0,5.432221261872372e-05,-1.1323312109401407e-05,0.0
60,4,1010,0.0,0.0,-0.0003442857142857969,-0.0020462908827809656,0.0,3.3909160345790834e-05,1.3559125328410637e-05,0.0
60,6,101,0.0,0.0,-0.000400000000000178,-0.004443250828877865,0.0,4.627187470407357e-06,8.242629379040523e-07,0.0
60,6,202,0.0,0.0,-0.00034142857142871463,-0.004443250828892076,0.0,0.00013595571052689437,1.3565994186309771e-05,0.0
60,6,303,0.0,0.0,-0.00033571428571443906,-0.0016572573398931922,0.0,-3.7462656655301574e-05,-7.008295629490346e-05,0.00033333333333340764
60,6,404,0.0,0.0,-0.0004642857142859169,-0.0021604288162322405,0.0,-4.711536181539744e-05,-3.347881299431421e-05,0.0
60,6,505,0.0,0.0,-0.000320000000000098,0.0001450901078854372,0.0,2.5398245925095653e-05,-3.8740358080935344e-06,0.0
60,6,606,0.0,0.0,-0.00038000000000004697,0.00010557888557372053,0.0,-8.450364905139562e-05,-7.219856450210727e-05,0.0
60,6,707,0.0,0.0,-0.0004142857142859224,-0.002807891402056839,0.0,-2.4627279212041664e-06,-7.143612128390764e-06,-0.0001666666666666483
60,6,808,0.0,0.0,-0.0003842857142858369,-0.0027495580142371523,0.0,8.04417382121031e-05,4.508718270310186e-05,-0.0001666666666666483
60,6,909,0.0,0.0,-0.0004742857142857604,-0.0024902341917325543,0.0,2.2219214505500573e-05,-3.5718060643064042e-06,0.0
60,6,1010,0.0,0.0,-0.0003500000000000725,-0.0018047387000237336,0.0,2.6276098043925833e-06,-4.609690480208983e-05,0.0
60,8,101,0.0,0.0,-0.00045285714285725476,-0.0007610930694355034,0.0,-4.35412121396056e-05,-1.030328672368963e-05,0.0
60,8,202,0.0,0.0,-0.0004342857142858314,-0.0019221939130531496,0.0,-6.132431731510624e-05,-1.5187044630798896e-05,0.0
60,8,303,0.0,0.0,-0.00045285714285725476,-0.0003752070698226362,0.0,-6.613826762300046e-06,2.179145142097716e-06,0.0
60,8,404,0.0,0.0,-0.0004371428571430247,-0.0017453692404316712,0.0,-9.227653361004728e-06,-5.698747886899447e-05,0.0
60,8,505,0.0,0.0,-0.0003700000000000925,-0.002499068310598318,0.0,0.0,0.0,0.0
60,8,606,0.0,0.0,-0.00047857142857155033,-0.004443250828892076,0.0,-6.786450673604283e-06,1.2436067075599633e-05,0.0
60,8,707,0.0,0.0,-0.0004171428571431157,-0.0013600805366067448,0.0,7.370205259001061e-05,-1.983897858660877e-05,0.00012500000000004174
60,8,808,0.0,0.0,-0.0004071428571430502,-0.001728893925161401,0.0,8.379377343700756e-06,3.591725751900254e-05,0.0
60,8,909,0.0,0.0,-0.00043142857142874913,-0.00100129224193779,0.0,-3.27795769358985e-05,-1.5583721169692977e-05,0.0
60,8,1010,0.0,0.0,-0.00042571428571447356,-0.0019302652080668281,0.0,-6.974973903199622e-05,-1.0205405499813525e-05,0.00012500000000004174
60,10,101,0.0,0.0,-0.0004171428571430047,-0.0031288579016788276,0.0,6.387624733039665e-07,-2.01861993491953e-05,0.0
60,10,202,0.0,0.0,-0.0004028571428573713,-0.001017117784186894,0.0,3.5045337574979296e-06,-4.9785481449099445e-05,0.0
60,10,303,0.0,0.0,-0.0004542857142858514,0.00016258434549598633,0.0,-8.890334973400693e-06,-1.7721653169933127e-07,0.0
60,10,404,0.0,0.0,-0.0003871428571429192,-0.00017626170117068796,0.0,-5.1587542393802255e-05,-4.6995351404302554e-05,0.0
60,10,505,0.0,0.0,-0.0004714285714286781,-3.9279539983283485e-05,0.0,-2.0935328442397982e-05,-2.309172620519606e-05,0.0
60,10,606,0.0,0.0,-0.0004900000000001015,-0.0033879343414824348,0.0,1.9373999544304576e-05,-3.468086311210483e-05,-9.999999999998899e-05
60,10,707,0.0,0.0,-0.0004328571428573458,-0.00033188890472501953,0.0,1.240731209620205e-05,-2.4084963045400976e-05,0.00019999999999997797
60,10,808,0.0,0.0,-0.0004928571428572948,-0.00121317927349196,0.0,2.9811164038592852e-05,2.3137060666894582e-05,0.0
60,10,909,0.0,0.0,-0.0004714285714286781,-0.0017901934160775568,0.0,4.404260282719896e-05,2.353270687691089e-06,-9.999999999998899e-05
60,10,1010,0.0,0.0,-0.0004300000000001525,0.00014435514923860637,0.0,-4.645530844893386e-06,1.826566670388996e-05,0.0
80,4,101,0.0,0.0,-0.00040300000000015324,-4.4312349807285045e-05,0.0,0.0,0.0,0.0
80,4,202,0.0,0.0,-0.00035900000000010923,4.633769307815783e-06,0.0,0.0,0.0,0.0
80,4,303,0.0,0.0,-0.00040400000000007097,4.185600232631259e-06,0.0,0.0,0.0,0.0
80,4,404,0.0,0.0,-0.0003500000000000725,5.7335553762527525e-06,0.0,0.0,0.0,0.0
80,4,505,0.0,0.0,-0.00032100000000012674,5.322316312117437e-06,0.0,0.0,0.0,0.0
80,4,606,0.0,0.0,-0.00032900000000013474,1.5229034033836797e-06,0.0,0.0,0.0,0.0
80,4,707,0.0,0.0,-0.0003500000000000725,-2.903753140515164e-05,0.0,0.0,0.0,0.0
80,4,808,0.0,0.0,-0.000316000000000094,4.412963733102515e-06,0.0,0.0,0.0,0.0
80,4,909,0.0,0.0,-0.00034300000000009323,4.174306724280541e-06,0.0,0.0,0.0,0.0
80,4,1010,0.0,0.0,-0.00032700000000018825,6.028040480998698e-06,0.0,0.0,0.0,0.0
