axis,response_factor,ambient_c,period_ms,lines,epochs,seed,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_pre_rejection_rate,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s
ambient,1.0,35.0,200,4,1000,1010,0.0,0.17925,0.17925,4000,4000,0.48039628066527656,3913,0.5005584104281318,0.6134183638858756,0.38658163611412444,0.09125,0.020162129762855197,59.791955717183214,6.300552004229369,60.1998257282181,199.98639164756813
response,0.8,25.0,200,4,1000,101,0.0,0.0,0.0,4000,4000,0.4953463287335924,4000,0.49616609472695566,0.6356908654604237,0.36430913453957625,0.066,0.0008197659933632528,56.18520556426848,0.0,59.8216757879732,199.98478787878787
response,0.8,25.0,200,4,1000,202,0.0,0.0,0.0,4000,4000,0.49504548856088343,4000,0.4956650418534761,0.6334054316125114,0.3665945683874886,0.062,0.0006195532925926672,56.353717600521136,0.0,59.117271376719884,199.98478787878787
response,0.8,25.0,200,4,1000,303,0.0,0.0,0.0,4000,4000,0.49604502529084643,4000,0.49650757783983157,0.6349557362559719,0.3650442637440281,0.062,0.0004625525489851401,56.63576237105652,0.0,59.974532713102235,199.98478787878787
response,0.8,25.0,200,4,1000,404,0.0,0.0,0.0,4000,4000,0.4932410818732493,4000,0.49432675881306304,0.6317463551711083,0.36825364482889167,0.066,0.0010856769398137622,56.07791895718035,0.0,59.12521758380329,199.98478787878787
response,0.8,25.0,200,4,1000,505,0.0,0.0,0.0,4000,4000,0.49569912251789766,4000,0.49745956811369424,0.6322756968298271,0.3677243031701729,0.066,0.0017604455957965781,56.14141118646996,0.0,59.01221319419292,199.98478787878787
response,0.8,25.0,200,4,1000,606,0.0,0.0,0.0,4000,4000,0.4936443445144411,3992,0.4958063343303868,0.6276979877516176,0.37230201224838244,0.064,0.002161989815945675,56.6770579358231,0.0,59.555470249525946,199.98478787878787
response,0.8,25.0,200,4,1000,707,0.0,0.0,0.0,4000,4000,0.4948605623728149,4000,0.4957141161142406,0.634713165976635,0.36528683402336504,0.064,0.0008535537414257055,56.392122042365884,0.0,59.60862326410624,199.98775757575757
response,0.8,25.0,200,4,1000,808,0.0,0.0,0.0,4000,4000,0.494713464175307,3992,0.4967866760559001,0.6348179710091888,0.3651820289908112,0.066,0.0020732118805931177,56.37317157576048,0.0,59.95704171079037,199.98775757575757
response,0.8,25.0,200,4,1000,909,0.0,0.0,0.0,4000,4000,0.49524062549378534,3992,0.49692727111697843,0.6352455780147973,0.3647544219852027,0.064,0.0016866456231930949,56.31935617467762,0.0,59.8960039562959,199.98478787878787
response,0.8,25.0,200,4,1000,1010,0.0,0.0,0.0,4000,4000,0.49885669323751397,3992,0.5004044762877013,0.6343485532660553,0.3656514467339447,0.062,0.001547783050187379,56.45909342559973,0.0,58.761781726342114,199.98775757575757
response,0.9,25.0,200,4,1000,101,0.0,0.0,0.0,4000,4000,0.4964965528676357,4000,0.4973058812217923,0.6398981919874883,0.3601018080125117,0.06325,0.000809328354156591,58.59821894615459,0.0,59.98855537741315,199.98478787878787
