configuration,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,scheduler,total_mandatory,missed_mandatory,mandatory_dmr,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,release_mode,wcet_scale,mandatory_infeasible,optional_skipped,dispatch_infeasible,budget_mode,network_mode,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count
EDF-Dynamic-Reservation,32000,5872,0,26128,0,0,50,8,1000,101,edf_dynamic_reservation,8000,6984,0.873,0.6326288828338066,0.1160874000000035,0.08742680000000017,5872,0.1127052494716454,8000,8000,0.10407807944329384,1872,0.4859801373909997,0.1265763719588716,0.8734236280411284,0.789,0.3819020579477059,0.7421481609344482,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5832,0,26168,0,0,50,8,1000,202,edf_dynamic_reservation,8000,6944,0.868,0.6335547325103059,0.11546535000000326,0.09086880000000018,5832,0.11263142530885138,8000,8000,0.10114566137526713,1888,0.46209530830021217,0.1307415786498095,0.8692584213501905,0.787,0.360949646924945,0.7409725189208984,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5784,0,26216,0,0,50,8,1000,303,edf_dynamic_reservation,8000,7016,0.877,0.6348301521438623,0.11474555000000311,0.08467320000000017,5784,0.11147427547941945,8000,8000,0.10166506061054442,1872,0.4614421376539519,0.13300475739839868,0.8669952426016013,0.793,0.3597770770434075,0.7330501079559326,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5712,0,26288,0,0,50,8,1000,404,edf_dynamic_reservation,8000,7088,0.886,0.6362233893557585,0.1135658750000029,0.07847760000000015,5712,0.10959837685736086,8000,8000,0.10318767632181827,1888,0.4776349989169273,0.12570207626064217,0.8742979237393578,0.79,0.37444732259510904,0.7338464260101318,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5952,0,26048,0,0,50,8,1000,505,edf_dynamic_reservation,8000,7088,0.886,0.633322849462385,0.11779805000000361,0.07847760000000015,5952,0.113620954575042,8000,8000,0.10404545442289535,1856,0.4806404773486591,0.1342909784998431,0.8657090215001569,0.789,0.37659502292576374,0.7579030990600586,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5880,0,26120,0,0,50,8,1000,606,edf_dynamic_reservation,8000,7008,0.876,0.6341137414966171,0.11651840000000341,0.08536160000000016,5880,0.11238447030819428,8000,8000,0.10103976788655034,1848,0.4652786829406741,0.14901416916232876,0.8509858308376712,0.799,0.36423891505412376,0.7567028999328613,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5872,0,26128,0,0,50,8,1000,707,edf_dynamic_reservation,8000,7016,0.877,0.6331737057220903,0.11618737500000358,0.08467320000000017,5872,0.11227737833156787,8000,8000,0.10246833372899185,1872,0.47019552561879513,0.1216302173474213,0.8783697826525787,0.797,0.3677271918898033,0.7503876686096191,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5960,0,26040,0,0,50,8,1000,808,edf_dynamic_reservation,8000,7128,0.891,0.6326397315436428,0.11782915000000348,0.07503560000000015,5960,0.11272320346558788,8000,8000,0.10447050246340218,1888,0.47149392406415014,0.12664371424089793,0.8733562857591021,0.786,0.36702342160074797,0.7580649852752686,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5800,0,26200,0,0,50,8,1000,909,edf_dynamic_reservation,8000,6952,0.869,0.6334220689655374,0.11480775000000366,0.09018040000000017,5800,0.11111949910799979,8000,8000,0.0968561058107389,1864,0.4511443082838157,0.12773186495836525,0.8722681350416348,0.796,0.3542882024730768,0.7931299209594727,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,32000,5808,0,26192,0,0,50,8,1000,1010,edf_dynamic_reservation,8000,7088,0.886,0.6349242424242586,0.11523875000000294,0.07847760000000015,5808,0.11174963912390802,8000,8000,0.10435570603235646,1848,0.48635642577569593,0.12992844326157219,0.8700715567384278,0.796,0.3820007197433395,0.7378859519958496,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5858,0,30142,0,0,50,9,1000,101,edf_dynamic_reservation,9000,8066,0.8962222222222223,0.6337979856606528,0.10313301666666957,0.07144062222222236,5858,0.09957683791405328,9000,9000,0.09004325747661356,1886,0.4634955652741446,0.11140087616769094,0.8885991238323091,0.8155555555555556,0.373452307797531,0.8596432209014893,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5876,0,30124,0,0,50,9,1000,202,edf_dynamic_reservation,9000,8048,0.8942222222222223,0.6337347855684321,0.10343960000000298,0.07281742222222236,5876,0.09983157111129279,9000,9000,0.08985026753494765,1896,0.45917391232147303,0.11275467309232746,0.8872453269076725,0.8153333333333334,0.36932364478652535,0.8535122871398926,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5872,0,30128,0,0,50,9,1000,303,edf_dynamic_reservation,9000,8052,0.8946666666666667,0.6338093324250864,0.10338134444444744,0.0725114666666668,5872,0.09973350033663173,9000,9000,0.09120308281924357,1874,0.4686857994780444,0.11292315243683401,0.887076847563166,0.8151111111111111,0.37748271665880084,0.8605232238769531,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5854,0,30146,0,0,50,9,1000,404,edf_dynamic_reservation,9000,8070,0.8966666666666666,0.6343737615305958,0.10315622222222522,0.0711346666666668,5854,0.09932168751743498,9000,9000,0.09019720888377351,1878,0.4638374842810906,0.11237505421703955,0.8876249457829605,0.8164444444444444,0.3736402753973171,0.9231479167938232,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5856,0,30144,0,0,50,9,1000,505,edf_dynamic_reservation,9000,8068,0.8964444444444445,0.6340174863388162,0.10313351111111409,0.07128764444444458,5856,0.09942453778326354,9000,9000,0.0897989633486186,1868,0.464481546712625,0.11276183502141009,0.8872381649785899,0.8168888888888889,0.3746825833640064,0.9503333568572998,periodic,1.0,,,,,,,,,
