period_ms,lines,configuration,mandatory_dmr,historical_coverage_adjusted_dice,historical_weighted_coverage_utility,historical_mandatory_effective_dice,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
70,4,EDF-Dynamic-Reservation,0.5108,0.37748890999998563,0.3716337957929413,0.3367652800000006,0.29610026541441326,0.4250147069114695,0.3674
70,4,HBTASP-Dynamic,0.0,0.2817233543750084,0.3491820806977873,0.6884000000000013,0.1675578839336968,0.22185336180996926,0.5488999999999999
70,5,EDF-Dynamic-Reservation,0.6134000000000001,0.3000424699999889,0.2955572165615979,0.2661354400000005,0.23035346106534593,0.3209756454205476,0.4992
70,5,HBTASP-Dynamic,0.2,0.2253796660000067,0.2818494088648015,0.5507200000000011,0.13731923958500608,0.17897428060597495,0.62074
70,6,EDF-Dynamic-Reservation,0.6744,0.2513151833333238,0.24759128569477884,0.2241430400000004,0.19627651372075172,0.27524268018106196,0.5786
70,6,HBTASP-Dynamic,0.3333333333333333,0.1878163883333389,0.2363820150163866,0.4589333333333342,0.10975260603981918,0.13883751738817007,0.6865333333333333
70,7,EDF-Dynamic-Reservation,0.7211142857142858,0.21484878071427765,0.2117081202231129,0.19198492571428608,0.16781048866178025,0.23477545552685192,0.6395142857142857
70,7,HBTASP-Dynamic,0.4285714285714285,0.16098589678571903,0.2036201475800324,0.3933714285714293,0.09205817411870473,0.11379738559574841,0.7311428571428571
70,8,EDF-Dynamic-Reservation,0.7554000000000001,0.18874445499999276,0.18581689789647166,0.1683826400000003,0.14805013270720654,0.21250735345573474,0.6837000000000001
70,8,HBTASP-Dynamic,0.5,0.1408632737500042,0.1789516327628982,0.3442000000000006,0.07897729125215633,0.09666949193091913,0.7659874999999999
70,9,EDF-Dynamic-Reservation,0.7830888888888888,0.16710460722221593,0.1646618712846443,0.14932160888888918,0.13051926895916247,0.18260313207644038,0.7196222222222222
70,9,HBTASP-Dynamic,0.5555555555555556,0.12521158055555923,0.15958181232563112,0.3059555555555561,0.06949242096798887,0.08234829149846316,0.7908333333333333
70,10,EDF-Dynamic-Reservation,0.8062000000000001,0.1510846549999942,0.14897688505511944,0.1334119200000002,0.11610400670428989,0.16718628202271812,0.7487999999999999
70,10,HBTASP-Dynamic,0.6,0.11269012775000331,0.14424079671797072,0.2753600000000005,0.06189856030679418,0.06925208771377564,0.8119
80,4,EDF-Dynamic-Reservation,0.3402,0.438482514999967,0.4401791216243517,0.45420632000000094,0.3243179411886272,0.490635441608348,0.29819999999999997
80,4,HBTASP-Dynamic,0.0,0.3892249999999824,0.4527435540989555,0.6884000000000013,0.24948323739914785,0.3696035958800371,0.3804
80,5,EDF-Dynamic-Reservation,0.4716,0.35104236499997354,0.3524102182678125,0.3637505600000007,0.25321865278124855,0.37614228624657114,0.44160000000000005
80,5,HBTASP-Dynamic,0.0,0.2589500000000002,0.32613450378595615,0.6884000000000013,0.14765013221711856,0.19484864513015973,0.5864
80,6,EDF-Dynamic-Reservation,0.5598666666666666,0.2924321933333112,0.29359737652385415,0.3029877866666672,0.2155153364590694,0.3201560148403596,0.532
