configuration,mandatory_count,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,plant_thermal_response_factor,plant_ambient_c,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,optional_region_on_time_coverage,defect_region_mandatory_coverage,defect_region_on_time_coverage,all_defect_regions_on_time_image_rate,any_defect_region_on_time_image_rate,defect_positive_regions,defective_images_for_coverage
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,a925780f8b1d683f3eb6d71845f8efaf6bc3b25b7b67acfa41bcb9db8f32d6c4,100,10,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.17819243826129696,5932,0.3885495086738688,0.18476021490513023,0.8152397850948698,0.557,0.21035707041257182,0.13333333333333333,0.31368631368631367,0.2997002997002997,0.174,0.492,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,7c19c4e792ca4dd66b416e493bc6af1289cd3d367758a27bcc3c2c322e41ad80,100,10,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.18703609140732547,5763,0.4212704135995781,0.19469735578922312,0.8053026442107769,0.554,0.23423432219225265,0.13333333333333333,0.31368631368631367,0.3006993006993007,0.18,0.486,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,72f4a780a924c370b4e0f79ceff95e6c13e99e499ef58be4b869d68d4f51cd1c,100,10,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.16073382209611345,5618,0.3747871739168514,0.1677025508712418,0.8322974491287582,0.598,0.21405335182073795,0.13333333333333333,0.31368631368631367,0.2777222777222777,0.17,0.462,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,adc4d22cc1b03f53d681c17d2bb0b0520921b513b27c41ce62fcd480deab5955,100,10,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.16473602154273648,5649,0.39253201576792257,0.18893479346567205,0.811065206534328,0.5728,0.2277959942251861,0.13333333333333333,0.31368631368631367,0.2987012987012987,0.164,0.482,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,72371a6dc2392aa631a2f1a80556a510e93ef225cc1a7e07482cb1ad30663640,100,10,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.16273698626663316,5709,0.3827345154436057,0.18128939204096653,0.8187106079590335,0.58,0.21999752917697254,0.13333333333333333,0.31368631368631367,0.2857142857142857,0.146,0.474,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,903a0f173f46d881f64c89dd6f644e1f36c9438a2dc8bf2dd26576201fbfc42f,100,10,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.17255459082764002,5849,0.38139377949747627,0.17242279561798743,0.8275772043820125,0.5688,0.20883918866983625,0.13333333333333333,0.31368631368631367,0.2937062937062937,0.178,0.484,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,013c9d9f2e8835d1195b690780ad4a7dde5a40c816ed2c5eecc755fd9402198c,100,10,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.17851813712622758,5921,0.38642279153697334,0.1901035900689834,0.8098964099310166,0.562,0.20790465441074577,0.13333333333333333,0.31368631368631367,0.29270729270729273,0.184,0.49,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,4802fffd4eb60a7f490c928b0e7b1988ba6d3b0af4fa286453bae90d24f9aa25,100,10,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.18470946178832404,5890,0.40115590785508054,0.20604507020288657,0.7939549297971135,0.566,0.2164464460667565,0.13333333333333333,0.31368631368631367,0.2977022977022977,0.18,0.488,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,bcc4bd9bcf311ca8bd1be474f6e2d488cb7a8c39b1a2701ed39f21885120600c,100,10,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.17603350519382555,5920,0.3865755430130528,0.18526598264382502,0.814734017356175,0.557,0.21054203781922726,0.13333333333333333,0.31368631368631367,0.29270729270729273,0.176,0.49,20020,10000
HBTASP-Top1,1,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,94917fed05a933472c176ccc8c4d3a3bfd4010636e8520465ce79b1a92644bd3,100,10,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,10000,10000,0.16738555768635888,5820,0.3738002124674786,0.1777560900461101,0.8222439099538899,0.58,0.2064146547811197,0.13333333333333333,0.31368631368631367,0.2867132867132867,0.176,0.47,20020,10000
HBTASP-Top1,1,16000,0,616,0,0,15384,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,358345139b329c40140caebe1f44495eb1cb4ce7057ad9123725a473225c7759,150,4,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.47305343388632043,3992,0.4809935161686101,0.6287099662703364,0.3712900337296636,0.074,0.007940082282289651,0.9486666666666667,0.31368631368631367,0.9630369630369631,0.926,0.99,8008,4000
HBTASP-Top1,1,16000,0,658,0,0,15342,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,34b8939f5e22fe77656bcf596b267a8e14848f4c8183e258a0aa6bf6964bce30,150,4,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.47546527876051586,3992,0.48236833892269215,0.6311553071282011,0.3688446928717989,0.078,0.006903060162176289,0.9451666666666667,0.31368631368631367,0.9647852147852148,0.9295,0.988,8008,4000
HBTASP-Top1,1,16000,0,680,0,0,15320,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,cb9cf6119f28cbbe2f515263b460577c6bf03d42557f7919b99931e42d877f4b,150,4,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.4803864463869333,4000,0.48526003012386193,0.6277184912921978,0.3722815087078022,0.07775,0.004873583736928644,0.9433333333333334,0.31368631368631367,0.965034965034965,0.93,0.986,8008,4000
